game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game2,9,"[49.63564325799962, 47.91520695100007, 49.23726549000003, 48.02465555699928, 15.012987549000172]",mate_in_3,1,White,1000,UCB
game13,3,"[52.45362123599989, 12.278928330000781]",mate_in_3,1,White,1000,UCB
game8,9,"[50.224549413000204, 50.74659903199972, 51.46930737099956, 50.13021474800007, 14.378808484999354]",mate_in_3,1,White,1000,UCB
game9,11,"[50.366372141000284, 49.87329159799992, 51.18427606400019, 47.95907792199978, 46.0337964549999, 7.409583945000122]",mate_in_3,1,White,1000,UCB
game6,3,"[51.182692351000696, 11.962473542000225]",mate_in_3,1,White,1000,UCB
game1,15,"[51.73021487599999, 49.67103410100026, 49.969762961000015, 49.51156117800019, 49.65135013799954, 49.422660107999945, 49.59614940499978, 9.598549663000085]",mate_in_3,1,White,1000,UCB
game5,5,"[49.57197835600073, 49.55017728599978, 9.691951862000678]",mate_in_3,1,White,1000,UCB
game14,5,"[50.66950638099843, 49.23430953899879, 13.076776836000136]",mate_in_3,1,White,1000,UCB
game4,5,"[49.096301497999775, 51.55402824000066, 12.822318966999774]",mate_in_3,1,White,1000,UCB
game12,5,"[48.30550760299957, 49.35218802000054, 13.645487957999649]",mate_in_3,1,White,1000,UCB
game0,5,"[49.860040821999974, 48.65626735399928, 12.083978368999851]",mate_in_3,1,White,1000,UCB
game7,5,"[50.876868563000244, 50.90970027499952, 15.381593351999982]",mate_in_3,1,White,1000,UCB
game10,13,"[51.839280842000335, 50.43776654299927, 52.84395675899941, 51.106581872998504, 46.24902445299995, 47.2234703260001, 10.915161750001062]",mate_in_3,1,White,1000,UCB
game17,7,"[52.36749553300069, 48.94397250700058, 48.82193397099945, 11.043643208000503]",mate_in_3,1,White,1000,UCB
game19,7,"[48.91157402799945, 50.14077289299894, 46.352801000999534, 8.9404076360006]",mate_in_3,1,White,1000,UCB
game16,5,"[50.51603893700121, 49.44073574699905, 14.914056994999555]",mate_in_3,1,White,1000,UCB
game11,9,"[49.62663787099882, 49.62790420099918, 48.14573685199866, 49.4413093990006, 12.622997963000671]",mate_in_3,1,White,1000,UCB
game18,9,"[51.16990644799989, 48.21506155699899, 48.0011188339995, 45.83899636100068, 11.060394803000236]",mate_in_3,1,White,1000,UCB
game15,5,"[48.484334630000376, 48.714447837999614, 12.247100814000078]",mate_in_3,1,White,1000,UCB
game3,5,"[49.54881098799979, 50.31426102799924, 10.045439632000125]",mate_in_3,1,White,1000,UCB
game2,1,[2.0550773279992427],mate_in_1,1,White,1000,UCB
game13,1,[2.253848966000078],mate_in_1,1,White,1000,UCB
game8,1,[2.057323152999743],mate_in_1,1,White,1000,UCB
game9,1,[2.0396719069995015],mate_in_1,1,White,1000,UCB
game6,1,[2.068538064999302],mate_in_1,1,White,1000,UCB
game1,1,[1.9985770710009092],mate_in_1,1,White,1000,UCB
game5,1,[1.985583276999023],mate_in_1,1,White,1000,UCB
game14,1,[2.1620618409997405],mate_in_1,1,White,1000,UCB
game4,1,[2.0422527770006127],mate_in_1,1,White,1000,UCB
game12,1,[2.198772170999291],mate_in_1,1,White,1000,UCB
game0,1,[2.132984118999957],mate_in_1,1,White,1000,UCB
game7,1,[2.1919793790002586],mate_in_1,1,White,1000,UCB
game10,1,[2.1875496199991176],mate_in_1,1,White,1000,UCB
game17,1,[2.106858969998939],mate_in_1,1,White,1000,UCB
game19,1,[2.5324268200001825],mate_in_1,1,White,1000,UCB
game16,1,[2.4218694329993014],mate_in_1,1,White,1000,UCB
game11,1,[2.290475648998836],mate_in_1,1,White,1000,UCB
game18,1,[2.2463115800001106],mate_in_1,1,White,1000,UCB
game15,1,[2.0705204009991576],mate_in_1,1,White,1000,UCB
game3,1,[2.1681832810008927],mate_in_1,1,White,1000,UCB
game2,7,"[50.16707716399833, 51.725577015000454, 49.36585680600001, 9.972065743000712]",mate_in_5,0,White,1000,UCB
game13,5,"[50.70285810899986, 51.97680256899912, 13.525744110998858]",mate_in_5,0,White,1000,UCB
game8,20,"[49.85777878800036, 52.04258866899909, 50.78563833099906, 50.1421388990002, 49.663815742000224, 51.504600311000104, 50.3019645330005, 49.992531948999385, 50.206790621001346, 50.7933143299997]",mate_in_5,0,draw,1000,UCB
game9,19,"[52.16935098899921, 53.08173972700024, 50.7184834210002, 47.84640283199951, 47.8131946579997, 48.016020635999666, 46.01205506600127, 48.08337428999948, 47.29039888800071, 11.268734184001005]",mate_in_5,0,White,1000,UCB
game6,7,"[52.3989257409994, 53.26671664999958, 51.328977072998896, 11.44727480199981]",mate_in_5,0,White,1000,UCB
game1,13,"[51.77089672099828, 48.19975791899924, 49.25324729800013, 48.71880536500066, 44.413425676999395, 47.54332909000004, 11.437542608000513]",mate_in_5,0,White,1000,UCB
game5,3,"[49.90190201100086, 14.483440949001306]",mate_in_5,0,White,1000,UCB
game14,5,"[50.9767317980004, 49.43425006099824, 12.689835469000172]",mate_in_5,0,White,1000,UCB
game4,3,"[50.707587633, 13.222271565000483]",mate_in_5,0,White,1000,UCB
game12,5,"[50.00074244799907, 44.52777851600149, 12.836798631999045]",mate_in_5,0,White,1000,UCB
game0,3,"[51.65110365699911, 14.015807162000783]",mate_in_5,0,White,1000,UCB
game7,3,"[53.151564173000224, 14.30759943799967]",mate_in_5,0,White,1000,UCB
game10,3,"[51.988280022000254, 12.803613900001437]",mate_in_5,0,White,1000,UCB
game17,20,"[51.73686810599975, 50.741898641999796, 53.439156886001, 53.931587164999655, 52.10115797100116, 51.58977453400075, 50.433198049000566, 50.73245411700009, 52.01886324000043, 49.294236382000236]",mate_in_5,0,draw,1000,UCB
game19,5,"[52.57164970099984, 52.80295042299986, 14.189586467000481]",mate_in_5,0,White,1000,UCB
game16,3,"[51.643182347999755, 15.112997053000072]",mate_in_5,0,White,1000,UCB
game11,11,"[50.17996528000003, 50.84146815200074, 51.53324917700047, 51.385100061999765, 48.009544919999826, 11.774040246000368]",mate_in_5,0,White,1000,UCB
game18,20,"[50.996913929000584, 49.04622552100045, 52.643065268999635, 51.40911050400064, 50.24053136099974, 51.068424043998675, 47.94043658600094, 50.68575106800017, 49.210728193998875, 48.5727537570001]",mate_in_5,0,draw,1000,UCB
game15,7,"[51.343137056999694, 50.72638000799998, 51.1354923229992, 13.858809892999489]",mate_in_5,0,White,1000,UCB
game3,20,"[50.24309182700017, 50.76315470300142, 48.7820556939987, 50.71562585299944, 51.83419814199988, 52.76410805999876, 51.53688904900082, 48.79848028699962, 48.888516921999326, 48.283379288001015]",mate_in_5,0,draw,1000,UCB
game2,9,"[44.693202537000616, 44.31624872500106, 43.18547832399781, 41.003859566000756, 11.86041924500023]",mate_in_2,1,White,1000,UCB
game13,5,"[46.03333425600067, 43.37098738699933, 13.376292069999181]",mate_in_2,1,White,1000,UCB
game8,7,"[45.09285658099907, 46.05920618199889, 44.37607761199979, 15.165748413000983]",mate_in_2,1,White,1000,UCB
game9,13,"[44.88745307700083, 41.721078894999664, 52.060532760999195, 44.124720086001616, 45.835639237997384, 45.71338932599974, 11.394585151003412]",mate_in_2,1,White,1000,UCB
game6,7,"[44.80622390600183, 39.92065276499852, 40.38451626599999, 10.365579236997291]",mate_in_2,1,White,1000,UCB
game1,3,"[44.07146460900185, 12.383782349003013]",mate_in_2,1,White,1000,UCB
game5,9,"[43.710958838000806, 44.63507553099771, 46.44305952300056, 43.691541969001264, 7.721696663997136]",mate_in_2,1,White,1000,UCB
game14,3,"[43.98554285999853, 16.753530845999194]",mate_in_2,1,White,1000,UCB
game4,9,"[44.00249431799966, 42.34468205200028, 43.9014708179966, 43.63058153200109, 5.991350649001106]",mate_in_2,1,White,1000,UCB
game12,11,"[43.01976500099772, 44.07102147000114, 43.49903967499995, 44.611542283000745, 45.98752499799957, 14.626476380002714]",mate_in_2,1,White,1000,UCB
game0,15,"[43.13816894900083, 44.57579618800082, 47.12962535499901, 46.563999113001046, 44.97683651199986, 44.41425168099886, 40.26725542299755, 7.803252572000929]",mate_in_2,1,White,1000,UCB
game7,20,"[45.53501869500178, 45.09222481799952, 44.319408128998475, 42.86344012799964, 45.601110993000475, 46.146539813002164, 42.34991721099868, 42.731240827000875, 42.817073856000206, 42.03039258199715]",mate_in_2,1,draw,1000,UCB
game10,13,"[44.19203361600012, 42.33189896299882, 43.09855732699725, 42.309738963998825, 42.39687938700081, 42.68636196100124, 15.487319144998764]",mate_in_2,1,White,1000,UCB
game17,13,"[43.33343386100023, 46.85298000599869, 47.345176266000635, 43.54084087600131, 44.97632941200209, 42.69421079300082, 12.735798013000021]",mate_in_2,1,White,1000,UCB
game19,20,"[43.81973185500101, 45.547949403997336, 43.977322067003115, 45.96101338600056, 46.89410622899959, 44.255770559000666, 47.70612310599972, 45.15360994599905, 46.4952953739994, 45.844700794001255]",mate_in_2,1,draw,1000,UCB
game16,20,"[43.22854355899835, 42.3225381250013, 42.73116987499816, 42.34988180099754, 42.109082950999436, 39.18270466100148, 40.55144200399809, 39.37201619999905, 37.74452272000053, 37.767934071001946]",mate_in_2,1,draw,1000,UCB
game11,20,"[44.8691724900018, 44.575131409997994, 44.25923094999962, 44.89230091100035, 41.49824880399683, 41.89935541199884, 41.723250046998146, 42.61138588199901, 41.75128997399952, 40.66078053099773]",mate_in_2,1,draw,1000,UCB
game18,20,"[45.045878356002504, 44.55019597299906, 43.84797065400198, 42.18017453799985, 44.66624571200009, 44.55295951000153, 45.21145477800019, 45.34990996200213, 45.77998006800044, 45.296888315002434]",mate_in_2,1,draw,1000,UCB
game15,5,"[45.80085158099973, 43.520638630001486, 14.006345768000756]",mate_in_2,1,White,1000,UCB
game3,11,"[44.6300213680006, 44.83902518499963, 43.162947497999994, 42.358226856998954, 44.91024588300206, 12.248145962999843]",mate_in_2,1,White,1000,UCB
game2,20,"[68.20556768999813, 63.86413183300101, 66.76334788399981, 64.42309238099915, 66.79085915000178, 63.63366625699928, 64.67181446899849, 65.85156565899888, 64.39036406699961, 64.73728168299931]",mate_in_4,0,draw,1000,UCB
game13,20,"[68.56564346899904, 79.01804551700116, 66.47902490699926, 68.36864813200009, 67.80439108199789, 65.80466404199979, 64.68228083299982, 64.25383045600029, 70.95994175300075, 63.76973649200227]",mate_in_4,0,draw,1000,UCB
game8,20,"[68.67991497999901, 72.68029214200214, 71.76134383300086, 69.15590206100023, 69.02343229000326, 65.59535231100017, 66.7968385819986, 66.75459816900184, 69.80355073399915, 67.41289582399986]",mate_in_4,0,draw,1000,UCB
game9,20,"[68.26453779700023, 66.08925723300126, 64.20614808499886, 61.24243848899641, 60.62477175500317, 57.530123910997645, 59.42535707099887, 58.04763286600064, 56.45067804700011, 58.05589948499983]",mate_in_4,0,draw,1000,UCB
game6,20,"[70.11683869400076, 67.1082243339988, 67.52026075100002, 67.29144104399893, 64.93468015899998, 65.05340000300203, 66.24931389599806, 65.43724746799853, 66.41233012500015, 64.5639492779992]",mate_in_4,0,draw,1000,UCB
game1,20,"[69.88769393099938, 67.17079909300082, 64.71839235899824, 66.19224957700135, 61.67888362699887, 59.812310786001035, 60.86574914099765, 60.94965346200115, 57.91207884799951, 59.29244324499814]",mate_in_4,0,draw,1000,UCB
game5,9,"[67.7018904889992, 67.47367305800071, 63.53319555299822, 63.228769024997746, 24.50170672999957]",mate_in_4,0,White,1000,UCB
game14,20,"[68.96975312599898, 67.0847447590022, 65.68430895499841, 67.760157531, 65.39423106200047, 67.67774451199875, 66.68443007499809, 65.06067477200122, 66.64459230300054, 63.26680100399972]",mate_in_4,0,draw,1000,UCB
game4,20,"[69.32935672299936, 67.13062356400042, 65.95740370400017, 68.26358760700168, 68.33627819499816, 69.32728438899721, 69.29298411299897, 68.373041396997, 68.94730262099984, 73.85391610899751]",mate_in_4,0,draw,1000,UCB
game12,20,"[67.88144742899749, 69.43759569100075, 68.6893746709975, 62.894667439999466, 62.95708998500049, 64.68622411400065, 63.48542329100019, 59.964108504998876, 56.98833081399789, 58.95783167300033]",mate_in_4,0,draw,1000,UCB
game0,17,"[67.49727222599904, 68.86098531199968, 69.2509884989995, 66.29653851599869, 66.48359855700255, 68.12074892700184, 64.76303914299933, 64.76289844100029, 24.321577085000172]",mate_in_4,0,White,1000,UCB
game7,20,"[67.87304377299733, 70.91637617699962, 67.18751158500163, 68.09047393799847, 67.07480068400037, 65.8112569699988, 68.18125164099911, 66.68183269200017, 65.65524294399802, 66.34607450800104]",mate_in_4,0,draw,1000,UCB
game10,20,"[68.5812588789995, 67.57953805299985, 67.37436727999739, 68.30552723100118, 66.58729025199864, 66.91374500899838, 64.2545119819988, 62.64463635100037, 63.31669385599889, 62.006980402999034]",mate_in_4,0,draw,1000,UCB
game17,20,"[67.46950102999836, 64.97659077400021, 65.44418688299629, 62.53927344600379, 65.31623659400066, 65.2495083879985, 62.87341446100618, 60.95979321800405, 62.94192789599765, 62.50667197399889]",mate_in_4,0,draw,1000,UCB
game19,20,"[68.10629617099767, 66.6260301519942, 69.67472570800601, 66.73290218500188, 67.57845819600334, 70.11676261600223, 68.77605347499775, 69.3985587549978, 67.30766727599985, 66.22743317099957]",mate_in_4,0,draw,1000,UCB
game16,20,"[67.66697634899901, 71.11557274899678, 70.65041216900136, 67.80689134400018, 68.77495480799917, 67.63941336700009, 70.53328586799762, 69.64004967299843, 70.72073548199842, 69.90954141600014]",mate_in_4,0,draw,1000,UCB
game11,20,"[68.89794601199901, 68.95429202599917, 69.79433941300158, 68.19654543900106, 67.2443343470004, 66.13159044300119, 66.36829097000009, 61.25716915999874, 61.60677299200324, 61.0317185970016]",mate_in_4,0,draw,1000,UCB
game18,20,"[68.36437738799577, 65.44132643099874, 64.74964938100311, 66.71664856799907, 62.98106501499569, 61.0619949259999, 60.70509419799782, 62.93514172700088, 60.83663599699503, 60.40284353899915]",mate_in_4,0,draw,1000,UCB
game15,7,"[68.27848585100219, 66.00520502600193, 67.80485976699856, 21.809049518000393]",mate_in_4,0,White,1000,UCB
game3,20,"[67.5214195640001, 68.08000910600094, 68.00964981699872, 68.71836217300006, 66.94439899799909, 66.52224254600151, 65.98406727399924, 69.25191250699936, 69.57362182399811, 64.1039141149995]",mate_in_4,0,draw,1000,UCB
