game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,1,[3.8355130519999996],mate_in_1,0,White,800,Thompson Sampling
game1,1,[3.5210947489999995],mate_in_1,0,White,800,Thompson Sampling
game2,1,[3.991917962999999],mate_in_1,0,White,800,Thompson Sampling
game3,1,[3.580537476],mate_in_1,0,White,800,Thompson Sampling
game4,1,[3.425960112000002],mate_in_1,0,White,800,Thompson Sampling
game5,1,[3.5655440300000016],mate_in_1,0,White,800,Thompson Sampling
game6,1,[3.6317175410000004],mate_in_1,0,White,800,Thompson Sampling
game7,1,[3.4654393839999997],mate_in_1,0,White,800,Thompson Sampling
game8,1,[3.703714493000003],mate_in_1,0,White,800,Thompson Sampling
game9,1,[3.717238213999998],mate_in_1,0,White,800,Thompson Sampling
game10,1,[3.5530699589999983],mate_in_1,0,White,800,Thompson Sampling
game11,1,[3.6257302380000027],mate_in_1,0,White,800,Thompson Sampling
game12,1,[3.372404336999999],mate_in_1,0,White,800,Thompson Sampling
game13,1,[3.814373517],mate_in_1,0,White,800,Thompson Sampling
game14,1,[3.7644075280000067],mate_in_1,0,White,800,Thompson Sampling
game0,3,[40.21984346400001|5.459052728000003],mate_in_2,0,White,800,Thompson Sampling
game1,7,[39.250961768999986|42.131892346|35.792702443999985|4.92478476399998],mate_in_2,0,White,800,Thompson Sampling
game2,3,[39.51797324099999|7.700271963999967],mate_in_2,0,White,800,Thompson Sampling
game3,20,[39.66937082200002|38.455553124000005|41.93536503399997|41.28816167299999|40.53152787899995|42.08474737|41.800193605000004|42.009337337000034|44.03187460999993|43.34532883999998],mate_in_2,0,draw,800,Thompson Sampling
game4,13,[40.297077480999974|42.53700286700007|42.94737950000001|40.693962337000016|38.055130867|40.81877480899993|6.102462436999986],mate_in_2,0,White,800,Thompson Sampling
game5,15,[41.823585280999964|40.06579053200005|41.24223559300003|39.593474129000015|42.34478977399999|41.61711305999984|42.90053445600006|7.439999586999875],mate_in_2,0,White,800,Thompson Sampling
game6,20,[40.27777261599999|40.29707543099994|40.52725234500008|41.17784315800009|43.94562264399997|43.253855007000084|43.60307888199986|42.238047712000025|41.529364764999855|41.300492736000024],mate_in_2,0,draw,800,Thompson Sampling
game7,19,[39.332446807999986|41.46438724399991|41.651728424999874|41.28557683500003|38.76998511499983|38.13855448000004|39.69679909599995|38.458388444999855|39.112781262|6.865399715000194],mate_in_2,0,White,800,Thompson Sampling
game8,5,[38.79883340699985|40.679421214000286|6.702551273999688],mate_in_2,0,White,800,Thompson Sampling
game9,3,[37.890809523999906|4.689867474000039],mate_in_2,0,White,800,Thompson Sampling
game10,3,[40.135516294000354|6.935478252999928],mate_in_2,0,White,800,Thompson Sampling
game11,3,[39.696976822000124|6.904455988000336],mate_in_2,0,White,800,Thompson Sampling
game12,20,[39.71959444999993|43.133527106999736|42.84732493599995|44.0621043379997|43.808848766999745|44.51538529100026|43.86322488199994|41.57383103099983|45.48120928700018|41.329970600999786],mate_in_2,0,draw,800,Thompson Sampling
game13,3,[39.80362012200021|7.227200057000118],mate_in_2,0,White,800,Thompson Sampling
game14,3,[39.42261967600007|7.845980674000202],mate_in_2,0,White,800,Thompson Sampling
game0,20,[50.629234043999986|50.4395932110001|46.78489185300032|48.497274040999855|49.75274310499981|49.19132544900003|50.23144610600002|47.69526855000004|48.20621365599982|49.19635724],mate_in_3,0,draw,800,Thompson Sampling
game1,17,[51.0447201070001|50.73001275200022|52.276667464000184|51.89629434900007|53.00259780899978|51.74809900599985|50.35315069799981|49.60047756599988|6.356460389999938],mate_in_3,0,White,800,Thompson Sampling
game2,11,[50.2978102510001|49.88610571500021|50.65549785200028|49.857864942000106|49.633053350999944|7.698396213000251],mate_in_3,0,White,800,Thompson Sampling
